Language,Menciones,PromedioTag,PromedioIdioma
English,63,34.810001373291016,0.28999999165534973
Arabic,61,33.70000076293945,12.710000038146973
Spanish,11,6.079999923706055,0.30000001192092896
French,8,4.420000076293945,1.2400000095367432
Thai,7,3.869999885559082,2.6700000762939453
Japanese,5,2.759999990463257,0.28999999165534973
Portuguese,5,2.759999990463257,0.6100000143051147
Korean,4,2.2100000381469727,1.2000000476837158
German,3,1.659999966621399,0.699999988079071
Italian,2,1.100000023841858,0.6299999952316284
